,cve_ent,nombre,indice,casos_mes_acumulados_por_100000_hab,case_fatality,muertes_acumulados_por_100000_hab
4,7,Chiapas,100.0,135.06988295863073,7.423413566739606,20.469893115048304
16,17,Morelos,87.02,383.6975271738865,12.2114556416882,63.35436665691483
29,30,Veracruz,83.53,465.2885491592253,7.325798908807482,66.24228822432961
13,14,Jalisco,83.0,486.9024350829454,7.011426465167711,57.16023165173806
17,18,Nayarit,79.31,557.0511830547172,6.056370656370657,72.0953676592132
15,16,Michoacan,78.98,587.6195574212381,7.1232701178882625,48.12035310640504
19,20,Oaxaca,78.71,587.7749093600651,14.797312183300287,46.408998181047224
20,21,Puebla,76.77,602.775310165826,12.665106604264171,77.87172620404027
12,13,Hidalgo,75.87,616.3139488092006,9.58390618681763,87.90136384814221
11,12,Guerrero,75.1,648.0910286110546,15.67895933316494,67.62284771761269
14,15,Mexico,74.9,637.9466358040808,8.51820262117745,89.55811379411847
28,29,Tlaxcala,72.7,681.0815276110118,12.071961982348947,92.97027342535677
3,4,Campeche,72.49,678.0816236382152,21.57871064467766,91.34364097351934
1,2,Baja California,69.28,732.928953678648,12.508333333333333,118.82137122998688
5,8,Chihuahua,67.9,788.9281220743358,12.752750611246944,93.9632307041955
24,25,Sinaloa,67.18,772.6803591374972,13.772273272073512,125.63856768231373
32,0,Nacional,65.01,866.305028771455,12.783742331288343,82.67713436161554
22,23,Quintana Roo,64.91,836.3223404026905,15.121148459383754,112.4613305370812
21,22,Queretaro,62.56,947.212209663205,7.740618316157884,62.64155214185416
8,6,Colima,62.55,913.8346284100043,8.396136618141098,95.65014716876838
0,1,Aguascalientes,62.13,941.6332377224869,10.478169513984193,75.28047203644132
27,28,Tamaulipas,60.4,974.1954888536192,12.109334203655353,80.69901895632556
10,11,Guanajuato,59.9,996.6482958491051,18.22990492653414,63.565972375535374
31,32,Zacatecas,59.37,1000.3444497385423,11.782823297137217,78.25129948764601
30,31,Yucatan,56.61,1056.70493267667,7.024041011136645,89.68181105910412
9,10,Durango,54.32,1128.5203392623634,15.264194240876453,61.90489439249736
18,19,Nuevo Leon,50.81,1197.2044256190518,7.726587728740581,80.90688435769934
23,24,San Luis Potosi,50.3,1202.731755788792,7.436532507739938,87.32993689775314
7,5,Coahuila,45.61,1296.3848983446835,6.59846547314578,101.65531639906547
25,26,Sonora,40.78,1397.644357499565,6.150025214321735,111.06612093035356
26,27,Tabasco,38.18,1442.4129189316743,12.58389458272328,119.11579073408215
2,3,Baja California Sur,24.89,1788.5990943298686,6.16832600138921,82.88720877635117
6,9,CDMX,-0.0,2286.418857821768,9.55392809587217,149.78968570112252
