,cve_mun,AdultosMayores_ben,AdultosMayores_monto,ApoyoMadresTrab_ben,ApoyoMadresTrab_monto,BecasUniv_ben,BecasUniv_monto,BenitoJuarez_ben,BenitoJuarez_monto,BienestarDiscapacitados_ben,BienestarDiscapacitados_monto,CreditoGanaPalabra_ben,CreditoGanaPalabra_monto,FertiGuerrero_ben,FertiGuerrero_monto,JoCuFu_ben,JoCuFu_monto,MediaSuperior_ben,MediaSuperior_monto,MejoramientoUrbano-RYCJ_ben,MejoramientoUrbano-RYCJ_monto,MejoUrbano-VAB_ben,MejoUrbano-VAB_monto,PNR-ReconstruViv_ben,PNR-ReconstruViv_monto,PrBiPeEmSoNa_ben,PrBiPeEmSoNa_monto,ProdBienProdCafe_ben,ProdBienProdCafe_monto,ProdBienProdCanaAzu_ben,ProdBienProdCanaAzu_monto,ProdBienProdIndig_ben,ProdBienProdIndig_monto,ProdBienPyMProd_ben,ProdBienPyMProd_monto,SembrandoVida_ben,SembrandoVida_monto,clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,date,H_0_a_4_años,H_5_a_9_años,H_10_a_14_años,H_15_a_19_años,H_20_a_24_años,H_25_a_29_años,H_30_a_34_años,H_35_a_39_años,H_40_a_44_años,H_45_a_49_años,H_50_a_54_años,H_55_a_59_años,H_60_a_64_años,H_65_a_69_años,H_70_a_74_años,H_75_a_79_años,H_80_a_84_años,H_85_a_89_años,H_90_a_94_años,H_95_a_99_años,H_100_años_o_más,M_0_a_4_años,M_5_a_9_años,M_10_a_14_años,M_15_a_19_años,M_20_a_24_años,M_25_a_29_años,M_30_a_34_años,M_35_a_39_años,M_40_a_44_años,M_45_a_49_años,M_50_a_54_años,M_55_a_59_años,M_60_a_64_años,M_65_a_69_años,M_70_a_74_años,M_75_a_79_años,M_80_a_84_años,M_85_a_89_años,M_90_a_94_años,M_95_a_99_años,M_100_años_o_más,mpo_clave,viviendas_tv_paga,viviendas_celular,viviendas_telefono,viviendas_computadora,viviendas_tv_paga,viviendas_total,ingreso_mensual_promedio_municipio,pobreza_2010_%,pobreza_2015_%,pobreza_extrema_2010_%,pobreza_extrema_2015_%,mpo_inegi,mpo_nombre,edo_nombre,Ranking de Importancia Electoral,nombre_pte_mpal,partido_pte_mpal,pob_2015
0,15033,87646,230063550,631,2022400,1423,7032000,4791,7945600,3802,11191950,0,0,6,32356,10477,157917600,0,0,0,0,0,0,0,0,0,0,1,5000,14,102200,0,0,814,4278017,0,0,15033,9720,161784,11880,0,39960,0,0,216,7344,5184,2020/05,61026,67770,69620,73337,73215,68347,62171,59998,57944,52380,47596,37502,31106,22012,15004,8204,3884,2219,786,58,2,59864,65269,69506,69632,75279,69347,67617,65814,68947,54875,55456,44646,33724,25503,16796,9498,5850,3629,1122,482,47,15033,0.288502687870598,0.817854143256981,0.607975961351419,0.393680929506617,0.288502687870598,436963,5758.698106911442,0.375517850388518,0.427422535257173,0.0435110479713369,0.0491270040447563,15033,Ecatepec de Morelos,México,1,LUIS FERNANDO  VILCHIS  CONTRERAS ,PT-MORENA-PES,1677084
1,6002,14542,37502850,736,2376000,432,2078400,670,1195200,418,1114350,0,0,0,0,2025,31618800,0,0,0,0,0,0,0,0,0,0,1,5000,124,905200,0,0,395,2713497,0,0,6002,43,10,0,0,17,0,0,1,2,6,2020/05,6020,5991,5973,6215,6696,6104,5298,4948,5019,3874,3984,3228,2985,2499,1707,967,597,403,151,66,45,5402,5579,6002,6392,7001,6095,5679,5270,5453,4468,4709,3889,3655,3099,1778,1430,945,574,316,112,42,6002,0.47311499049575,0.873451462780485,0.500032773274487,0.478467958661977,0.47311499049575,45769,7382.502784001054,0.302288472802925,0.275621021909223,0.0104021491042033,0.017804908239249,6002,Colima,Colima,2,LEONCIO ALFONSO MORAN SANCHEZ,MC,150660
2,14067,11577,29967600,314,993600,224,1089600,458,747200,332,946050,0,0,1,2431,384,4968000,0,0,0,0,0,0,0,0,0,0,0,0,3,21900,0,0,277,1561714,0,0,14067,10,22,0,0,8,0,0,1,3,3,2020/05,11543,13468,13373,13596,12158,11976,10721,10507,9922,7966,6675,5116,3836,2985,2022,1165,454,131,103,55,7,11357,12134,12140,12641,12331,12283,12154,11589,9574,7947,6614,5634,4264,3066,1888,1192,460,359,148,79,0,14067,0.589397402727889,0.919783476928487,0.425849639546859,0.447363793926302,0.589397402727889,79622,7340.1334775664045,0.34901944995498,0.264272368694208,0.0326959819042948,0.0161596989498173,14067,Puerto Vallarta,Jalisco,3,ARTURO DAVALOS PEÑA,MC,275633
3,24013,12501,32400300,306,1011200,759,3652800,1835,5137600,1338,4276350,0,0,0,0,1838,28004400,277,886400,0,0,0,0,0,0,0,0,0,0,2222,16220600,0,0,193,1055419,0,0,24013,4,2,2,0,2,0,0,0,0,2,2020/05,7316,7668,8696,8049,6795,5703,6284,5790,5679,4802,4581,3551,2913,2158,2137,1308,725,482,132,52,0,7172,7235,8328,8530,7443,7083,6850,7281,6247,5651,4968,4158,3727,2724,1921,1406,675,508,260,10,0,24013,0.524525570923127,0.829547282084271,0.272414763589579,0.293985204245738,0.524525570923127,49744,5252.109695637525,0.44122273613035,0.42817569201333,0.0822963867302139,0.0710936596545453,24013,Ciudad Valles,San Luis Potosí,4,ADRIAN ESPER CARDENAS,Independiente,176998
4,7108,7624,19678350,305,982400,148,710400,291,713600,1250,4054500,59,3456000,0,0,6493,131882400,105,336000,0,0,0,0,5,309120,0,0,333,1665000,1,7300,13,46400,4474,28202494,0,0,7108,0,4,0,0,0,0,0,0,0,1,2020/05,4958,5048,5194,5079,4476,3458,3737,3471,3140,2772,2564,1684,1507,1301,970,832,371,268,115,42,30,5019,4847,5230,4572,4790,4381,4203,4081,3674,3179,2368,1832,1501,1417,1095,690,495,299,94,32,8,7108,0.367955170075311,0.697933397580041,0.0932648035121533,0.113216975407788,0.367955170075311,28017,3379.0104533779345,0.822978903887291,0.7293589592157,0.343678542450395,0.208595582403861,7108,Villaflores,Chiapas,5,MARIANO GUADALUPE ROSALES ZUART,PVEM,104824
5,16088,3805,10052100,109,383200,0,0,2346,3809600,339,1093950,0,0,0,0,1014,16362000,0,0,0,0,0,0,0,0,0,0,0,0,1,7300,0,0,807,3886634,0,0,16088,4,5,3,0,2,0,0,0,0,6,2020/05,5429,5546,5347,4372,4240,4023,4345,4145,3704,2396,1775,1331,1137,827,793,514,316,196,45,39,0,5349,5543,5018,4742,5017,4811,4955,4738,4182,2772,1996,1650,1352,1108,575,425,320,216,32,45,14,16088,0.383174996557896,0.847790169351507,0.231034007985681,0.263906099407958,0.383174996557896,29052,5338.195178894531,0.246962833316174,0.439879119517241,0.0400236796046536,0.0714891750955699,16088,Tarímbaro,Michoacán de Ocampo,6,BALTAZAR GAONA SANCHEZ,PT-MORENA,105380
6,4002,18242,46784850,1229,3961600,1036,5078400,3274,7316800,941,3067650,65,3864000,0,0,7398,118850400,0,0,0,0,0,0,0,0,0,0,0,0,7,51100,1,4800,2150,13104191,2,10000,4002,6,16,0,0,7,0,0,0,1,1,2020/05,11726,11765,11519,12084,12645,11387,10508,10069,10173,7574,6916,5180,4553,3587,2222,1571,1148,482,218,78,0,11713,11598,11982,12465,13146,12258,12234,11251,10313,9091,8392,6793,5674,3710,2328,1610,1654,931,354,71,45,4002,0.61216033552723,0.891572657562627,0.314253590874064,0.402569511994846,0.61216033552723,79159,6154.49847519653,0.339020935506849,0.312154013444049,0.0491210689635409,0.0276189064000452,4002,Campeche,Campeche,7,ELISEO  FERNANDEZ  MONTUFAR ,PAN-MC,283018
7,16108,12426,32484450,198,671200,207,1022400,3073,4985600,459,1348950,0,0,0,0,342,5004000,0,0,0,0,0,0,0,0,0,0,0,0,1,7300,0,0,1326,9411474,0,0,16108,0,34,0,0,2,1,0,0,0,29,2020/05,10243,9290,9682,8103,7698,7329,7125,6295,6190,4601,4643,3776,3123,2168,1719,1148,814,363,168,73,8,8890,9608,9283,9136,8820,8032,7580,7220,6713,5510,5404,4366,3070,2871,2112,1193,1020,541,122,86,28,16108,0.496844618795838,0.757841074914246,0.41334546212595,0.299960202399227,0.496844618795838,52767,5220.579782879993,0.4664111918948,0.498758914148379,0.0771516312764114,0.0839358181316733,16108,Zamora,Michoacán de Ocampo,8,MARTIN SAMAGUEY CARDENAS,PT-MORENA,196164
8,21071,5564,14353950,175,561600,925,4464000,6657,10672000,959,4118250,0,0,0,0,3070,61477200,0,0,0,0,0,0,0,0,0,0,142,710000,0,0,0,0,627,1865256,0,0,21071,1,5,0,0,2,0,0,0,0,3,2020/05,5126,5555,6027,4534,4575,3349,3022,3158,2741,2403,2083,1659,1521,1097,748,486,308,189,65,12,0,5090,5148,5593,4847,4634,4371,4194,4061,3439,2702,2551,2243,2067,1119,1087,748,438,286,135,32,9,21071,0.392344497607655,0.686834388022843,0.217549004475999,0.201921592838401,0.392344497607655,25916,4505.734561494551,0.660842298229534,0.631912354255287,0.199334266004149,0.0981934286093175,21071,Huauchinango,Puebla,9,GUSTAVO ADOLFO VARGAS CABRERA,MORENA-PT-PES,103452
9,31050,67488,174499050,2337,7715600,1863,9249600,3803,6449600,3759,11204700,8,896000,0,0,6494,103525200,0,0,0,0,0,0,0,0,0,0,0,0,6,43800,0,0,123,388819,14,70000,31050,48,8,0,0,16,0,0,0,0,8,2020/05,30867,34581,35485,36053,41769,37138,33749,30977,32095,25058,23600,19200,15059,11971,8179,5781,3813,2025,638,251,20,30338,32473,34634,38001,43806,37130,34667,34797,36354,29688,28418,23342,17497,14889,10567,7160,5235,2691,1283,364,61,31050,0.547334248679342,0.919403008230357,0.414442298294198,0.476759519986347,0.547334248679342,257826,6920.597605240784,0.269678589949213,0.229397571830932,0.0271068282640633,0.0179608036647901,31050,Mérida,Yucatán,10,RENAN ALBERTO  BARRERA  CONCHA ,PAN-MC,891704
