cve_mun,Municipio,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
15033,Ecatepec de Morelos,87646,631,1423.0,4791,3802,0.0,6.0,10477,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,814,0.0
6002,Colima,14542,736,432.0,670,418,0.0,0.0,2025,0.0,0.0,0.0,0.0,0.0,1.0,124.0,0.0,395,0.0
14067,Puerto Vallarta,11577,314,224.0,458,332,0.0,1.0,384,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,277,0.0
24013,Ciudad Valles,12501,306,759.0,1835,1338,0.0,0.0,1838,277.0,0.0,0.0,0.0,0.0,0.0,2222.0,0.0,193,0.0
7108,Villaflores,7624,305,148.0,291,1250,59.0,0.0,6493,105.0,0.0,0.0,5.0,0.0,333.0,1.0,13.0,4474,0.0
16088,Tarímbaro,3805,109,0.0,2346,339,0.0,0.0,1014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,807,0.0
4002,Campeche,18242,1229,1036.0,3274,941,65.0,0.0,7398,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2150,2.0
16108,Zamora,12426,198,207.0,3073,459,0.0,0.0,342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1326,0.0
21071,Huauchinango,5564,175,925.0,6657,959,0.0,0.0,3070,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,627,0.0
31050,Mérida,67488,2337,1863.0,3803,3759,8.0,0.0,6494,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,123,14.0
19026,Guadalupe,43141,419,44.0,1263,1927,0.0,0.0,427,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,243,0.0
19006,Apodaca,14030,364,7.0,233,1458,0.0,0.0,626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,168,0.0
17029,Yautepec,6942,236,168.0,1268,234,0.0,3.0,2205,0.0,0.0,0.0,0.0,0.0,0.0,647.0,0.0,277,0.0
14098,San Pedro Tlaquepaque,26567,453,5.0,5088,1147,0.0,0.0,780,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,438,0.0
16034,Hidalgo,8150,112,665.0,5124,1086,0.0,0.0,2138,399.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,218,0.0
28033,Río Bravo,8163,95,34.0,2665,430,0.0,0.0,293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,756,0.0
26029,Guaymas,10123,208,107.0,244,973,0.0,0.0,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,0.0
16112,Zitácuaro,9570,209,469.0,6363,811,0.0,0.0,3814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,1683,0.0
21174,Teziutlán,6072,45,1221.0,956,290,0.0,0.0,402,77.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,95,15.0
30038,Coatepec,7238,304,0.0,1093,411,0.0,0.0,1482,0.0,0.0,0.0,0.0,0.0,435.0,847.0,0.0,202,0.0
28038,Tampico,25963,616,766.0,1510,1040,0.0,0.0,1517,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,159,0.0
30131,Poza Rica de Hidalgo,17749,336,2260.0,2828,857,0.0,0.0,2042,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,66,59.0
5018,Monclova,14141,257,255.0,183,852,0.0,0.0,261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,0.0
17006,Cuautla,12634,538,1971.0,1433,542,0.0,0.0,2945,0.0,0.0,0.0,0.0,0.0,0.0,512.0,1.0,411,0.0
25018,Navolato,9669,261,18.0,2745,1061,0.0,0.0,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529,0.0
