distrito,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
D01001,21976,1092,609.0,4178,1923,1.0,0.0,2886,121.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6448,0.0
D01002,47034,2928,2844.0,5983,3256,8.0,14.0,2780,0.0,0.0,0.0,0.0,0.0,5.0,22.0,20.0,2617,0.0
D01003,47034,2928,2844.0,5983,3256,8.0,14.0,2780,0.0,0.0,0.0,0.0,0.0,5.0,22.0,20.0,2617,0.0
D02001,56581,258,555.0,6253,4218,0.0,0.0,637,428.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,92,0.0
D02002,56581,258,555.0,6253,4218,0.0,0.0,637,428.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,92,0.0
D02003,26581,287,466.0,6379,2582,0.0,1.0,747,2871.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,85,1.0
D02004,65807,138,1135.0,13256,4978,0.0,3.0,1137,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,209,1.0
D02005,65807,138,1135.0,13256,4978,0.0,3.0,1137,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,209,1.0
D02006,65807,138,1135.0,13256,4978,0.0,3.0,1137,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,209,1.0
D02007,93041,586,1029.0,14047,9102,0.0,1.0,1478,3299.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,204,1.0
D02008,65807,138,1135.0,13256,4978,0.0,3.0,1137,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,209,1.0
D03001,26902,730,2116.0,3825,1815,0.0,0.0,3439,1654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,0.0
D03002,24669,771,1850.0,5180,2168,0.0,4.0,1865,273.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,114,0.0
D04001,31105,1835,2394.0,7402,2694,322.0,2.0,15391,779.0,0.0,0.0,0.0,0.0,1.0,9.0,1383.0,12129,4787.0
D04002,23112,620,1347.0,7127,2006,297.0,2.0,9869,950.0,0.0,0.0,0.0,0.0,0.0,778.0,2.0,6142,4803.0
D05001,28173,439,460.0,2895,1813,0.0,0.0,329,0.0,0.0,1126.0,0.0,0.0,1.0,0.0,0.0,203,1.0
D05002,33846,392,327.0,2507,3213,0.0,0.0,1820,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5793,1.0
D05003,37184,462,348.0,977,2014,0.0,0.0,520,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,0.0
D05004,42503,1158,978.0,2704,1742,0.0,0.0,1211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4365,0.0
D05005,39821,1416,3261.0,3732,2027,0.0,0.0,2319,83.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,720,1.0
D05006,53050,1571,3350.0,5143,3031,0.0,0.0,3109,124.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3018,1.0
D05007,45193,1238,1022.0,3131,1918,0.0,0.0,1417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5776,0.0
D06001,31787,1729,1358.0,2459,1078,0.0,1.0,5671,0.0,0.0,0.0,0.0,0.0,10.0,730.0,1.0,1507,0.0
D06002,21858,1266,517.0,4722,1466,0.0,1.0,2839,96.0,0.0,0.0,0.0,0.0,19.0,4.0,3.0,968,1.0
D07001,19890,122,118.0,12016,3163,620.0,0.0,7548,3491.0,0.0,0.0,0.0,0.0,3630.0,4.0,2880.0,13071,13292.0
D07002,14041,132,32.0,146,3748,13.0,1.0,13073,1768.0,0.0,0.0,0.0,0.0,9456.0,1.0,7475.0,24624,7017.0
D07003,12949,24,625.0,11233,2239,94.0,0.0,7346,7268.0,0.0,0.0,0.0,0.0,2708.0,1.0,1852.0,12686,23026.0
D07004,19254,626,218.0,3330,3259,365.0,0.0,10359,1429.0,0.0,0.0,0.0,0.0,1167.0,10.0,403.0,7337,12748.0
D07005,17862,377,2138.0,7119,2687,2.0,0.0,6395,1213.0,0.0,0.0,0.0,0.0,3077.0,25.0,2992.0,16122,0.0
D07006,46277,2172,7483.0,8650,4437,137.0,0.0,24370,270.0,0.0,0.0,0.0,0.0,370.0,92.0,9.0,7381,909.0
D07007,30240,622,512.0,2772,4578,264.0,0.0,16405,197.0,0.0,0.0,8.0,0.0,1949.0,279.0,12.0,3346,5112.0
D07008,26923,1394,1052.0,8301,3365,140.0,0.0,11846,496.0,0.0,0.0,0.0,0.0,538.0,2958.0,39.0,20108,2.0
D07009,33409,1691,7482.0,3579,2261,7.0,0.0,17711,0.0,0.0,0.0,0.0,0.0,27.0,86.0,2.0,985,17.0
D07010,25460,692,982.0,3481,4451,487.0,0.0,23218,1320.0,0.0,0.0,168.0,0.0,4274.0,8.0,37.0,19468,1.0
D07011,24860,701,1807.0,10134,3364,3.0,0.0,12580,3197.0,0.0,0.0,0.0,0.0,3891.0,35.0,3958.0,28112,4223.0
D07012,30709,833,1216.0,10881,3822,1.0,0.0,7169,490.0,0.0,0.0,1.0,0.0,2624.0,20.0,11.0,2770,5218.0
D07013,40606,941,1371.0,16884,6443,2.0,0.0,11570,2852.0,0.0,0.0,0.0,0.0,9401.0,96.0,16.0,13948,11634.0
D08001,51068,944,1165.0,16443,4313,0.0,0.0,1398,574.0,0.0,689.0,0.0,0.0,0.0,2.0,0.0,434,2.0
D08002,67753,1032,1222.0,17302,5207,0.0,0.0,1870,1152.0,0.0,689.0,0.0,0.0,0.0,3.0,0.0,1590,3.0
D08003,51068,944,1165.0,16443,4313,0.0,0.0,1398,574.0,0.0,689.0,0.0,0.0,0.0,2.0,0.0,434,2.0
D08004,51068,944,1165.0,16443,4313,0.0,0.0,1398,574.0,0.0,689.0,0.0,0.0,0.0,2.0,0.0,434,2.0
D08005,29796,1007,617.0,3153,1532,0.0,0.0,3478,1436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883,2.0
D08006,53753,1060,883.0,2744,2170,0.0,0.0,1978,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367,0.0
D08007,26047,324,575.0,2404,1912,0.0,0.0,1848,2915.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16529,0.0
D08008,53753,1060,883.0,2744,2170,0.0,0.0,1978,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367,0.0
D08009,23368,234,1463.0,5331,1201,0.0,0.0,1994,3344.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17398,1.0
D09001,120849,1014,586.0,11667,10156,0.0,0.0,6175,29906.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,498,0.0
D09002,120849,1014,586.0,11667,10156,0.0,0.0,6175,29906.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,498,0.0
D09003,48201,338,1180.0,1116,3259,0.0,1.0,2194,29594.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,170,1.0
D09004,138482,2009,447.0,3283,18314,0.0,5.0,9302,28901.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,722,1.0
D09005,52985,678,392.0,2881,5273,0.0,5.0,3202,3759.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,258,0.0
D09006,81110,785,760.0,2018,7967,0.0,1.0,4210,24913.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,398,1.0
D09007,120849,1014,586.0,11667,10156,0.0,0.0,6175,29906.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,498,0.0
D09008,98633,368,424.0,714,6813,0.0,3.0,4951,15939.0,0.0,0.0,0.0,0.0,1.0,15.0,1.0,388,3.0
D09009,23068,835,695.0,670,3855,0.0,1.0,2970,4941.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,160,1.0
D09010,36149,213,1237.0,273,1952,0.0,1.0,1298,7425.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,103,1.0
D09011,44662,227,6.0,153,3677,0.0,3.0,2256,9540.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,153,3.0
D09012,53971,141,418.0,561,3136,0.0,0.0,2695,6399.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,235,0.0
D09013,42190,441,783.0,65,4240,0.0,1.0,2103,12723.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,150,1.0
D09014,52985,678,392.0,2881,5273,0.0,5.0,3202,3759.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,258,0.0
D09015,48445,170,0.0,243,1843,0.0,2.0,1292,3374.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,131,0.0
D09016,61508,494,760.0,1479,5864,0.0,1.0,2744,21173.0,0.0,0.0,0.0,0.0,1.0,11.0,1.0,264,1.0
D09017,73001,623,769.0,2287,7483,0.0,1.0,3235,23749.0,0.0,0.0,0.0,0.0,2.0,12.0,1.0,324,1.0
D09018,138482,2009,447.0,3283,18314,0.0,5.0,9302,28901.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,722,1.0
D09019,138482,2009,447.0,3283,18314,0.0,5.0,9302,28901.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,722,1.0
D09020,138482,2009,447.0,3283,18314,0.0,5.0,9302,28901.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,722,1.0
D09021,39692,923,311.0,929,5248,0.0,2.0,4554,14083.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,301,1.0
D09022,138482,2009,447.0,3283,18314,0.0,5.0,9302,28901.0,0.0,0.0,0.0,0.0,1.0,17.0,2.0,722,1.0
D09023,71283,762,293.0,889,5583,0.0,3.0,3177,23782.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,219,0.0
D09024,102877,1301,409.0,1443,9031,0.0,5.0,6375,34182.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,395,0.0
D10001,51637,3949,2445.0,23818,5062,49.0,0.0,5724,2749.0,0.0,0.0,0.0,0.0,0.0,2.0,331.0,20269,6521.0
D10002,28158,697,975.0,5173,2009,0.0,0.0,1249,812.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6048,380.0
D10003,33307,588,1124.0,5438,2499,17.0,0.0,2088,1919.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20269,2923.0
D10004,36294,3474,1940.0,10114,3243,44.0,0.0,3509,129.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4917,9.0
D11001,24923,442,352.0,6356,2360,0.0,1.0,860,745.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5500,0.0
D11002,43513,1116,1312.0,20785,3337,0.0,1.0,1361,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5393,0.0
D11003,73759,3170,1066.0,30692,4921,0.0,1.0,3667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1747,0.0
D11004,20357,602,673.0,7135,1528,0.0,0.0,741,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6292,0.0
D11005,73759,3170,1066.0,30692,4921,0.0,1.0,3667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1747,0.0
D11006,73759,3170,1066.0,30692,4921,0.0,1.0,3667,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1747,0.0
D11007,26217,532,468.0,9823,2021,0.0,0.0,448,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7648,0.0
D11008,26459,598,695.0,5667,1963,0.0,0.0,504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4151,0.0
D11009,41387,850,998.0,26002,3238,0.0,0.0,1437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4892,0.0
D11010,33507,1021,1289.0,7992,1751,0.0,0.0,1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4818,0.0
