distrito,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021
D01001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,4,7,7,7,8,9,9,10,10,10,11,12,12,12,12,13,13,13,14,14,16,16,20,20,20,23,24,26,35,37,37,40,43,45,48,57,57,58,58,67,68,68,71,75,75,75,79,86,87,93,99,99,101,112,118,133,147,158,161,162,171,179,189,195,200,201,205,218,231,249,251,274,275,282,298,300,316,325,340,347,351,375,385,412,430,445,448,453,467,482,492,508,528,530,532,543,548,568,594,608,610,611,635,670,684,695,724,728,744,764,788,819,847,879,880,882,900,924,936,960,983,986,989,1017,1037,1057,1070,1091,1095,1099,1111,1132,1138,1149,1154,1157,1160,1183,1191,1208,1221,1231,1236,1238,1256,1276,1286,1301,1312,1317,1321,1329,1339,1350,1358,1365,1368,1371,1385,1398,1412,1424,1427,1431,1432,1444,1455,1467,1480,1489,1492,1492,1503,1505,1509,1527,1535,1540,1547,1552,1564,1572,1586,1595,1598,1601,1618,1634,1658,1668,1681,1686,1689,1707,1723,1735,1754,1763,1768,1773,1790,1808,1832,1850,1869,1872,1876,1894,1911,1932,1947,1962,1966,1971,1994,2024,2055,2075,2101,2107,2112,2134,2169,2191,2212,2256,2261,2267,2295,2312,2354,2386,2412,2419,2421,2428,2462,2507,2537,2570,2574,2581,2624,2668,2704,2718,2747,2750,2762,2788,2815,2848,2866,2895,2901,2908,2921,2942,2969,3000,3025,3026,3028,3043,3055,3069,3078,3097,3100,3102,3119,3141,3147,3168,3168,3169,3173,3185,3199,3220,3230,3231,3234,3238,3260,3277,3300,3309,3323,3328,3335,3355,3386,3402,3419,3446,3453,3457,3479,3513,3557,3596,3617,3620,3624,3667,3697,3712,3736,3750,3753,3759,3761,3780,3802,3823,3840,3843,3846,3878,3902,3922,3943,3958,3961,3967,3985,4012,4035,4055,4070,4073,4074,4092,4103,4119,4137,4148,4149,4153,4168,4182,4188,4209,4216,4219,4219,4232,4233,4233
D01002,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,6,8,9,10,12,12,28,32,35,40,43,46,46,46,46,48,48,49,53,54,55,55,57,58,60,68,70,80,87,101,114,117,131,143,152,164,173,174,178,192,222,236,254,258,260,264,305,316,332,353,363,363,367,374,411,424,442,464,467,472,498,513,525,541,554,569,577,606,637,662,701,739,753,769,818,862,904,946,984,1005,1026,1083,1148,1195,1249,1294,1321,1340,1398,1446,1493,1539,1594,1606,1627,1681,1719,1759,1812,1848,1863,1872,1900,1934,1993,2038,2092,2101,2108,2176,2260,2299,2331,2379,2396,2412,2474,2532,2583,2640,2681,2702,2715,2748,2821,2861,2910,2959,2974,2992,3032,3075,3114,3159,3202,3234,3247,3296,3347,3390,3420,3459,3478,3494,3549,3592,3634,3685,3728,3738,3769,3841,3901,3957,3997,4052,4087,4118,4176,4235,4325,4375,4438,4478,4498,4577,4624,4689,4753,4798,4813,4836,4900,4945,4996,5041,5084,5095,5108,5165,5179,5198,5284,5331,5354,5372,5453,5509,5584,5644,5690,5710,5722,5801,5880,5941,5984,6044,6054,6068,6154,6231,6289,6345,6416,6430,6449,6551,6624,6692,6772,6849,6865,6892,7030,7128,7216,7315,7439,7480,7507,7647,7811,7953,8097,8242,8275,8296,8505,8647,8753,8845,8975,8999,9037,9155,9254,9412,9595,9720,9751,9783,9817,10047,10270,10482,10668,10718,10760,10975,11188,11351,11525,11655,11705,11731,11904,12065,12228,12357,12452,12480,12521,12649,12751,12855,12926,12998,13015,13037,13138,13248,13323,13412,13503,13526,13549,13650,13752,13818,13862,13870,13893,13922,14033,14138,14226,14274,14291,14332,14372,14463,14574,14690,14830,14955,15000,15026,15209,15357,15490,15625,15749,15769,15797,15985,16160,16335,16507,16639,16683,16710,16927,17082,17213,17320,17423,17441,17471,17508,17674,17784,17884,17955,17972,18002,18107,18166,18235,18302,18343,18355,18360,18431,18487,18547,18616,18663,18688,18706,18786,18847,18908,18958,19016,19029,19040,19115,19180,19236,19281,19320,19331,19344,19404,19417,19417
D01003,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,5,6,8,9,10,12,12,28,32,35,40,43,46,46,46,46,48,48,49,53,54,55,55,57,58,60,68,70,80,87,101,114,117,131,143,152,164,173,174,178,192,222,236,254,258,260,264,305,316,332,353,363,363,367,374,411,424,442,464,467,472,498,513,525,541,554,569,577,606,637,662,701,739,753,769,818,862,904,946,984,1005,1026,1083,1148,1195,1249,1294,1321,1340,1398,1446,1493,1539,1594,1606,1627,1681,1719,1759,1812,1848,1863,1872,1900,1934,1993,2038,2092,2101,2108,2176,2260,2299,2331,2379,2396,2412,2474,2532,2583,2640,2681,2702,2715,2748,2821,2861,2910,2959,2974,2992,3032,3075,3114,3159,3202,3234,3247,3296,3347,3390,3420,3459,3478,3494,3549,3592,3634,3685,3728,3738,3769,3841,3901,3957,3997,4052,4087,4118,4176,4235,4325,4375,4438,4478,4498,4577,4624,4689,4753,4798,4813,4836,4900,4945,4996,5041,5084,5095,5108,5165,5179,5198,5284,5331,5354,5372,5453,5509,5584,5644,5690,5710,5722,5801,5880,5941,5984,6044,6054,6068,6154,6231,6289,6345,6416,6430,6449,6551,6624,6692,6772,6849,6865,6892,7030,7128,7216,7315,7439,7480,7507,7647,7811,7953,8097,8242,8275,8296,8505,8647,8753,8845,8975,8999,9037,9155,9254,9412,9595,9720,9751,9783,9817,10047,10270,10482,10668,10718,10760,10975,11188,11351,11525,11655,11705,11731,11904,12065,12228,12357,12452,12480,12521,12649,12751,12855,12926,12998,13015,13037,13138,13248,13323,13412,13503,13526,13549,13650,13752,13818,13862,13870,13893,13922,14033,14138,14226,14274,14291,14332,14372,14463,14574,14690,14830,14955,15000,15026,15209,15357,15490,15625,15749,15769,15797,15985,16160,16335,16507,16639,16683,16710,16927,17082,17213,17320,17423,17441,17471,17508,17674,17784,17884,17955,17972,18002,18107,18166,18235,18302,18343,18355,18360,18431,18487,18547,18616,18663,18688,18706,18786,18847,18908,18958,19016,19029,19040,19115,19180,19236,19281,19320,19331,19344,19404,19417,19417
D02001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,6,8,10,12,18,22,24,28,33,35,41,50,65,87,99,110,112,115,138,154,178,193,217,235,257,290,334,372,398,448,465,479,514,558,587,638,670,686,704,746,773,824,861,897,925,973,1032,1097,1154,1222,1299,1341,1382,1456,1538,1611,1673,1767,1810,1846,1999,2111,2228,2403,2555,2598,2653,2742,2838,2927,3008,3088,3139,3190,3304,3426,3537,3641,3748,3825,3870,3998,4131,4236,4344,4422,4476,4548,4662,4770,4849,4942,5026,5087,5118,5218,5334,5435,5544,5627,5683,5715,5823,5949,6044,6134,6195,6223,6262,6357,6467,6585,6678,6749,6781,6819,6892,6975,7075,7138,7205,7232,7272,7329,7400,7463,7520,7573,7594,7622,7678,7719,7766,7832,7908,7934,7951,7993,8059,8098,8132,8165,8185,8198,8244,8283,8327,8366,8390,8400,8416,8451,8483,8521,8555,8585,8594,8613,8661,8687,8716,8764,8793,8805,8815,8862,8919,8970,9013,9038,9053,9060,9090,9127,9163,9198,9230,9236,9244,9269,9283,9289,9339,9381,9389,9413,9454,9491,9536,9565,9603,9611,9618,9668,9709,9763,9810,9843,9862,9877,9932,9992,10049,10083,10109,10128,10144,10193,10252,10298,10349,10386,10403,10423,10491,10566,10641,10701,10775,10794,10808,10883,10936,10998,11030,11069,11092,11111,11185,11251,11311,11354,11403,11429,11453,11507,11538,11587,11609,11643,11672,11696,11723,11774,11857,11913,11972,12013,12059,12174,12301,12432,12537,12664,12701,12758,12884,13057,13197,13310,13430,13484,13527,13641,13785,13882,13978,14084,14121,14161,14271,14395,14497,14599,14677,14704,14743,14854,14943,15034,15091,15115,15159,15187,15262,15379,15461,15513,15543,15582,15615,15715,15802,15881,15990,16084,16110,16136,16261,16339,16422,16498,16578,16602,16622,16741,16810,16873,16922,16985,17004,17020,17075,17137,17175,17211,17233,17241,17252,17262,17299,17337,17376,17401,17409,17423,17472,17508,17541,17569,17597,17603,17614,17644,17665,17675,17684,17697,17706,17713,17737,17755,17765,17781,17806,17812,17815,17829,17845,17860,17873,17889,17892,17900,17921,17932,17932
D02002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,6,8,10,12,18,22,24,28,33,35,41,50,65,87,99,110,112,115,138,154,178,193,217,235,257,290,334,372,398,448,465,479,514,558,587,638,670,686,704,746,773,824,861,897,925,973,1032,1097,1154,1222,1299,1341,1382,1456,1538,1611,1673,1767,1810,1846,1999,2111,2228,2403,2555,2598,2653,2742,2838,2927,3008,3088,3139,3190,3304,3426,3537,3641,3748,3825,3870,3998,4131,4236,4344,4422,4476,4548,4662,4770,4849,4942,5026,5087,5118,5218,5334,5435,5544,5627,5683,5715,5823,5949,6044,6134,6195,6223,6262,6357,6467,6585,6678,6749,6781,6819,6892,6975,7075,7138,7205,7232,7272,7329,7400,7463,7520,7573,7594,7622,7678,7719,7766,7832,7908,7934,7951,7993,8059,8098,8132,8165,8185,8198,8244,8283,8327,8366,8390,8400,8416,8451,8483,8521,8555,8585,8594,8613,8661,8687,8716,8764,8793,8805,8815,8862,8919,8970,9013,9038,9053,9060,9090,9127,9163,9198,9230,9236,9244,9269,9283,9289,9339,9381,9389,9413,9454,9491,9536,9565,9603,9611,9618,9668,9709,9763,9810,9843,9862,9877,9932,9992,10049,10083,10109,10128,10144,10193,10252,10298,10349,10386,10403,10423,10491,10566,10641,10701,10775,10794,10808,10883,10936,10998,11030,11069,11092,11111,11185,11251,11311,11354,11403,11429,11453,11507,11538,11587,11609,11643,11672,11696,11723,11774,11857,11913,11972,12013,12059,12174,12301,12432,12537,12664,12701,12758,12884,13057,13197,13310,13430,13484,13527,13641,13785,13882,13978,14084,14121,14161,14271,14395,14497,14599,14677,14704,14743,14854,14943,15034,15091,15115,15159,15187,15262,15379,15461,15513,15543,15582,15615,15715,15802,15881,15990,16084,16110,16136,16261,16339,16422,16498,16578,16602,16622,16741,16810,16873,16922,16985,17004,17020,17075,17137,17175,17211,17233,17241,17252,17262,17299,17337,17376,17401,17409,17423,17472,17508,17541,17569,17597,17603,17614,17644,17665,17675,17684,17697,17706,17713,17737,17755,17765,17781,17806,17812,17815,17829,17845,17860,17873,17889,17892,17900,17921,17932,17932
D02003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,4,4,5,6,6,6,6,7,8,8,8,9,9,9,13,19,20,21,26,28,31,36,39,41,51,53,55,65,75,83,84,87,91,96,102,110,118,127,133,142,145,151,159,167,170,179,189,196,202,214,216,227,232,253,262,267,278,286,295,311,324,336,342,361,372,401,419,437,448,457,476,491,513,529,548,572,583,604,635,671,702,753,766,784,831,865,894,919,949,974,991,1038,1063,1098,1129,1163,1179,1205,1244,1275,1311,1338,1364,1381,1408,1453,1490,1517,1558,1588,1618,1644,1677,1709,1741,1769,1810,1835,1852,1892,1921,1952,1973,1993,2015,2029,2071,2102,2124,2154,2184,2202,2216,2250,2271,2300,2327,2352,2362,2376,2418,2437,2467,2497,2516,2531,2545,2571,2592,2617,2638,2656,2665,2674,2717,2751,2782,2817,2848,2856,2862,2894,2918,2936,2947,2965,2974,2986,3005,3020,3027,3047,3070,3087,3091,3118,3138,3150,3166,3183,3189,3198,3226,3242,3262,3275,3300,3316,3325,3345,3376,3403,3419,3437,3447,3455,3474,3493,3513,3525,3549,3561,3577,3609,3633,3658,3675,3689,3701,3708,3738,3767,3787,3801,3825,3832,3838,3869,3894,3935,3958,3991,4009,4021,4048,4081,4115,4151,4172,4194,4205,4225,4271,4321,4393,4442,4472,4497,4563,4635,4702,4768,4818,4845,4870,4932,4996,5047,5114,5160,5211,5238,5315,5374,5462,5517,5580,5634,5664,5745,5830,5906,5983,6037,6073,6105,6183,6265,6302,6340,6361,6383,6420,6501,6552,6588,6624,6653,6684,6712,6794,6873,6950,7018,7067,7091,7122,7186,7240,7310,7372,7435,7457,7473,7537,7575,7609,7657,7713,7730,7752,7809,7853,7898,7940,7977,7999,8016,8034,8081,8111,8145,8178,8194,8204,8232,8252,8269,8288,8307,8321,8328,8346,8363,8382,8401,8417,8423,8426,8444,8452,8460,8474,8483,8490,8493,8509,8523,8537,8553,8560,8564,8567,8575,8579,8579
D02004,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,7,11,12,12,14,19,24,31,40,45,60,78,107,147,164,188,210,225,268,290,322,361,382,394,415,458,509,564,614,656,681,705,769,825,883,928,977,1002,1039,1093,1145,1195,1237,1284,1324,1359,1421,1477,1521,1562,1610,1636,1656,1699,1732,1782,1823,1862,1883,1912,1961,2000,2039,2090,2120,2132,2153,2185,2215,2247,2266,2287,2306,2321,2339,2375,2393,2419,2445,2459,2472,2495,2519,2537,2562,2579,2586,2597,2642,2688,2718,2737,2775,2789,2800,2854,2892,2930,2959,3002,3030,3042,3089,3133,3178,3244,3305,3331,3360,3426,3490,3537,3575,3605,3616,3627,3670,3722,3763,3813,3856,3880,3906,3966,4000,4043,4075,4112,4144,4158,4207,4264,4304,4343,4387,4406,4436,4487,4528,4581,4623,4661,4682,4701,4777,4828,4860,4896,4935,4955,4974,5055,5118,5165,5219,5266,5286,5299,5358,5413,5444,5485,5536,5554,5572,5652,5737,5804,5871,5929,5967,5987,6068,6118,6169,6224,6276,6298,6310,6366,6388,6406,6449,6476,6489,6497,6519,6563,6606,6633,6654,6666,6678,6704,6736,6784,6825,6843,6855,6863,6915,6948,6990,7019,7043,7055,7066,7119,7165,7226,7275,7301,7318,7329,7373,7406,7445,7489,7544,7559,7577,7623,7658,7689,7722,7748,7764,7784,7823,7859,7898,7929,7954,7971,7983,8049,8086,8122,8153,8187,8200,8217,8237,8322,8400,8478,8567,8621,8655,8795,8897,9013,9135,9214,9264,9293,9422,9545,9629,9721,9815,9868,9903,10047,10199,10323,10472,10591,10649,10709,10844,10948,11081,11188,11274,11326,11389,11563,11684,11795,11863,11902,11969,12028,12223,12350,12442,12538,12587,12634,12703,12874,13074,13231,13375,13513,13570,13606,13777,13929,14075,14192,14287,14326,14363,14480,14581,14692,14805,14885,14922,14945,15017,15144,15227,15322,15388,15407,15427,15455,15531,15598,15653,15695,15711,15732,15795,15834,15876,15933,15967,15979,15991,16036,16055,16077,16104,16126,16138,16151,16195,16224,16273,16306,16330,16339,16350,16390,16420,16448,16482,16509,16517,16523,16543,16559,16559
D02005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,7,11,12,12,14,19,24,31,40,45,60,78,107,147,164,188,210,225,268,290,322,361,382,394,415,458,509,564,614,656,681,705,769,825,883,928,977,1002,1039,1093,1145,1195,1237,1284,1324,1359,1421,1477,1521,1562,1610,1636,1656,1699,1732,1782,1823,1862,1883,1912,1961,2000,2039,2090,2120,2132,2153,2185,2215,2247,2266,2287,2306,2321,2339,2375,2393,2419,2445,2459,2472,2495,2519,2537,2562,2579,2586,2597,2642,2688,2718,2737,2775,2789,2800,2854,2892,2930,2959,3002,3030,3042,3089,3133,3178,3244,3305,3331,3360,3426,3490,3537,3575,3605,3616,3627,3670,3722,3763,3813,3856,3880,3906,3966,4000,4043,4075,4112,4144,4158,4207,4264,4304,4343,4387,4406,4436,4487,4528,4581,4623,4661,4682,4701,4777,4828,4860,4896,4935,4955,4974,5055,5118,5165,5219,5266,5286,5299,5358,5413,5444,5485,5536,5554,5572,5652,5737,5804,5871,5929,5967,5987,6068,6118,6169,6224,6276,6298,6310,6366,6388,6406,6449,6476,6489,6497,6519,6563,6606,6633,6654,6666,6678,6704,6736,6784,6825,6843,6855,6863,6915,6948,6990,7019,7043,7055,7066,7119,7165,7226,7275,7301,7318,7329,7373,7406,7445,7489,7544,7559,7577,7623,7658,7689,7722,7748,7764,7784,7823,7859,7898,7929,7954,7971,7983,8049,8086,8122,8153,8187,8200,8217,8237,8322,8400,8478,8567,8621,8655,8795,8897,9013,9135,9214,9264,9293,9422,9545,9629,9721,9815,9868,9903,10047,10199,10323,10472,10591,10649,10709,10844,10948,11081,11188,11274,11326,11389,11563,11684,11795,11863,11902,11969,12028,12223,12350,12442,12538,12587,12634,12703,12874,13074,13231,13375,13513,13570,13606,13777,13929,14075,14192,14287,14326,14363,14480,14581,14692,14805,14885,14922,14945,15017,15144,15227,15322,15388,15407,15427,15455,15531,15598,15653,15695,15711,15732,15795,15834,15876,15933,15967,15979,15991,16036,16055,16077,16104,16126,16138,16151,16195,16224,16273,16306,16330,16339,16350,16390,16420,16448,16482,16509,16517,16523,16543,16559,16559
D02006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,7,11,12,12,14,19,24,31,40,45,60,78,107,147,164,188,210,225,268,290,322,361,382,394,415,458,509,564,614,656,681,705,769,825,883,928,977,1002,1039,1093,1145,1195,1237,1284,1324,1359,1421,1477,1521,1562,1610,1636,1656,1699,1732,1782,1823,1862,1883,1912,1961,2000,2039,2090,2120,2132,2153,2185,2215,2247,2266,2287,2306,2321,2339,2375,2393,2419,2445,2459,2472,2495,2519,2537,2562,2579,2586,2597,2642,2688,2718,2737,2775,2789,2800,2854,2892,2930,2959,3002,3030,3042,3089,3133,3178,3244,3305,3331,3360,3426,3490,3537,3575,3605,3616,3627,3670,3722,3763,3813,3856,3880,3906,3966,4000,4043,4075,4112,4144,4158,4207,4264,4304,4343,4387,4406,4436,4487,4528,4581,4623,4661,4682,4701,4777,4828,4860,4896,4935,4955,4974,5055,5118,5165,5219,5266,5286,5299,5358,5413,5444,5485,5536,5554,5572,5652,5737,5804,5871,5929,5967,5987,6068,6118,6169,6224,6276,6298,6310,6366,6388,6406,6449,6476,6489,6497,6519,6563,6606,6633,6654,6666,6678,6704,6736,6784,6825,6843,6855,6863,6915,6948,6990,7019,7043,7055,7066,7119,7165,7226,7275,7301,7318,7329,7373,7406,7445,7489,7544,7559,7577,7623,7658,7689,7722,7748,7764,7784,7823,7859,7898,7929,7954,7971,7983,8049,8086,8122,8153,8187,8200,8217,8237,8322,8400,8478,8567,8621,8655,8795,8897,9013,9135,9214,9264,9293,9422,9545,9629,9721,9815,9868,9903,10047,10199,10323,10472,10591,10649,10709,10844,10948,11081,11188,11274,11326,11389,11563,11684,11795,11863,11902,11969,12028,12223,12350,12442,12538,12587,12634,12703,12874,13074,13231,13375,13513,13570,13606,13777,13929,14075,14192,14287,14326,14363,14480,14581,14692,14805,14885,14922,14945,15017,15144,15227,15322,15388,15407,15427,15455,15531,15598,15653,15695,15711,15732,15795,15834,15876,15933,15967,15979,15991,16036,16055,16077,16104,16126,16138,16151,16195,16224,16273,16306,16330,16339,16350,16390,16420,16448,16482,16509,16517,16523,16543,16559,16559
D02007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,5,8,10,12,14,21,25,27,31,38,40,46,57,72,98,111,124,127,132,160,179,205,224,252,272,295,333,386,433,467,524,544,564,611,663,696,763,801,820,852,910,956,1016,1063,1108,1146,1202,1284,1369,1442,1524,1618,1667,1717,1804,1898,1977,2050,2158,2210,2253,2422,2539,2670,2851,3032,3086,3147,3252,3358,3456,3555,3650,3715,3773,3909,4045,4190,4316,4442,4535,4591,4741,4892,5023,5148,5247,5327,5410,5546,5691,5812,5939,6076,6150,6200,6354,6511,6654,6801,6932,7015,7067,7228,7385,7525,7652,7757,7804,7872,8022,8171,8337,8466,8567,8618,8686,8812,8937,9080,9191,9293,9356,9424,9526,9635,9735,9828,9929,9977,10027,10129,10206,10290,10384,10496,10545,10579,10678,10787,10853,10925,11001,11044,11072,11166,11236,11316,11391,11453,11473,11504,11592,11655,11731,11813,11865,11891,11924,12015,12069,12132,12205,12264,12286,12307,12421,12521,12612,12709,12776,12803,12819,12900,12976,13041,13095,13154,13170,13191,13251,13281,13296,13378,13454,13481,13511,13587,13646,13710,13762,13822,13838,13855,13941,14005,14087,14154,14221,14257,14281,14370,14474,14563,14625,14676,14708,14734,14813,14902,14976,15051,15115,15148,15188,15299,15410,15517,15609,15706,15737,15760,15878,15968,16057,16112,16180,16214,16240,16349,16443,16551,16620,16711,16759,16797,16884,16952,17042,17107,17171,17229,17273,17328,17438,17593,17737,17859,17934,18006,18211,18428,18638,18831,19024,19095,19178,19383,19645,19860,20058,20232,20342,20420,20627,20852,21061,21231,21426,21523,21601,21819,22058,22255,22461,22611,22678,22754,22972,23167,23307,23410,23462,23535,23608,23782,23975,24118,24213,24279,24353,24416,24613,24803,24981,25181,25338,25399,25465,25663,25810,25974,26129,26284,26334,26373,26574,26691,26795,26902,27033,27074,27116,27241,27354,27447,27536,27601,27638,27668,27703,27800,27873,27950,28015,28041,28067,28150,28210,28263,28315,28369,28389,28408,28471,28519,28551,28580,28610,28629,28641,28684,28716,28738,28770,28807,28822,28831,28868,28906,28944,28973,28998,29007,29021,29052,29070,29070
