distrito,ingreso_mensual_promedio,poblacion_2015,pobreza_2010_%,pobreza_extrema_2010_%,pobreza_2015_%,pobreza_extrema_2015_%,viviendas_total,viviendas_tv_paga,viviendas_celular,viviendas_telefono,viviendas_computadora,categorical_denue_111,categorical_denue_112,categorical_denue_113,categorical_denue_114,categorical_denue_115,categorical_denue_211,categorical_denue_212,categorical_denue_213,categorical_denue_221,categorical_denue_236,categorical_denue_237,categorical_denue_238,categorical_denue_311,categorical_denue_312,categorical_denue_313,categorical_denue_314,categorical_denue_315,categorical_denue_316,categorical_denue_321,categorical_denue_322,categorical_denue_323,categorical_denue_324,categorical_denue_325,categorical_denue_326,categorical_denue_327,categorical_denue_331,categorical_denue_332,categorical_denue_333,categorical_denue_334,categorical_denue_335,categorical_denue_336,categorical_denue_337,categorical_denue_339,categorical_denue_431,categorical_denue_432,categorical_denue_433,categorical_denue_434,categorical_denue_435,categorical_denue_436,categorical_denue_437,categorical_denue_461,categorical_denue_462,categorical_denue_463,categorical_denue_464,categorical_denue_465,categorical_denue_466,categorical_denue_467,categorical_denue_468,categorical_denue_469,categorical_denue_481,categorical_denue_482,categorical_denue_483,categorical_denue_484,categorical_denue_485,categorical_denue_486,categorical_denue_487,categorical_denue_488,categorical_denue_491,categorical_denue_492,categorical_denue_493,categorical_denue_511,categorical_denue_512,categorical_denue_515,categorical_denue_517,categorical_denue_518,categorical_denue_519,categorical_denue_521,categorical_denue_522,categorical_denue_523,categorical_denue_524,categorical_denue_525,categorical_denue_531,categorical_denue_532,categorical_denue_533,categorical_denue_541,categorical_denue_551,categorical_denue_561,categorical_denue_562,categorical_denue_611,categorical_denue_621,categorical_denue_622,categorical_denue_623,categorical_denue_624,categorical_denue_711,categorical_denue_712,categorical_denue_713,categorical_denue_721,categorical_denue_722,categorical_denue_811,categorical_denue_812,categorical_denue_813,categorical_denue_931,categorical_denue_932,H_0_a_4_años,H_5_a_9_años,H_10_a_14_años,H_15_a_19_años,H_20_a_24_años,H_25_a_29_años,H_30_a_34_años,H_35_a_39_años,H_40_a_44_años,H_45_a_49_años,H_50_a_54_años,H_55_a_59_años,H_60_a_64_años,H_65_a_69_años,H_70_a_74_años,H_75_a_79_años,H_80_a_84_años,H_85_a_89_años,H_90_a_94_años,H_95_a_99_años,H_100_años_o_más,M_0_a_4_años,M_5_a_9_años,M_10_a_14_años,M_15_a_19_años,M_20_a_24_años,M_25_a_29_años,M_30_a_34_años,M_35_a_39_años,M_40_a_44_años,M_45_a_49_años,M_50_a_54_años,M_55_a_59_años,M_60_a_64_años,M_65_a_69_años,M_70_a_74_años,M_75_a_79_años,M_80_a_84_años,M_85_a_89_años,M_90_a_94_años,M_95_a_99_años,M_100_años_o_más
D01001,5166.22405603485,435121,0.5333113439874119,0.06919837118862084,0.4101475977903198,0.027715581226584275,104030,0.4044794770739209,0.8027780447947708,0.2700855522445447,0.2655676247236375,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,24387,24293,24624,22112,20504,15730,14664,14422,12905,9714,8191,6346,4857,3870,2918,2170,1392,810,250,85,13,23404,23113,24104,21560,20358,17656,16822,15580,13998,10693,9145,6745,5478,4263,2954,2129,1318,940,454,126,24
D01002,6923.267342655914,876714,0.302213624974589,0.0215862420757115,0.261129542652703,0.0158454505563901,230559,0.514371592520787,0.888392992683001,0.440013185345183,0.44147051297065,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,40684,39349,43811,42491,40653,34738,30602,28979,27773,22804,20969,16846,12948,8900,6626,3515,2029,1030,393,269,149,38944,39324,43538,41311,40701,35370,33352,31329,33921,27469,23856,18942,14316,10170,7294,4831,3259,2188,765,253,23
D01003,6923.267342655914,876714,0.302213624974589,0.0215862420757115,0.261129542652703,0.0158454505563901,230559,0.514371592520787,0.888392992683001,0.440013185345183,0.44147051297065,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,40684,39349,43811,42491,40653,34738,30602,28979,27773,22804,20969,16846,12948,8900,6626,3515,2029,1030,393,269,149,38944,39324,43538,41311,40701,35370,33352,31329,33921,27469,23856,18942,14316,10170,7294,4831,3259,2188,765,253,23
D02001,7937.953892442372,988187,0.299620564982796,0.0263140108121823,0.256800333403285,0.0173292859908551,291763,0.508159019478138,0.9121033167331019,0.441231410425585,0.46102487292768407,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,41174,42726,45487,44028,43936,40435,36546,37239,38146,30354,26398,20176,15888,10691,7512,5643,2400,1227,682,37,0,40387,44500,44410,42532,43801,41869,36041,36686,37501,30603,26694,21397,17894,13289,7600,5857,3517,1768,563,535,18
D02002,7937.953892442372,988187,0.299620564982796,0.0263140108121823,0.256800333403285,0.0173292859908551,291763,0.508159019478138,0.9121033167331019,0.441231410425585,0.46102487292768407,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,41174,42726,45487,44028,43936,40435,36546,37239,38146,30354,26398,20176,15888,10691,7512,5643,2400,1227,682,37,0,40387,44500,44410,42532,43801,41869,36041,36686,37501,30603,26694,21397,17894,13289,7600,5857,3517,1768,563,535,18
D02003,6995.999967092815,486470,0.34572539005185793,0.0462529260889531,0.33503270843394595,0.0350370988277648,143169,0.651293226885709,0.894215926632162,0.375276770809323,0.429122226180249,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,21069,23473,22275,24000,23436,20407,18349,17363,16120,14513,12375,9042,7271,4600,3882,2323,1321,954,273,5,15,20636,20659,22216,21036,23770,21105,19269,17770,15783,14174,13588,9352,8298,5876,4099,3024,1387,928,258,78,98
D02004,8277.955130369657,1640382,0.310873522439843,0.0345824566894095,0.294737389090248,0.0182646056023818,475341,0.572668884022207,0.909397674511561,0.414912662698989,0.487317525734157,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,71464,76505,77096,73777,75651,67155,68432,62230,65355,49392,43643,28894,21247,13646,9635,5749,3630,1820,539,244,9,68968,73650,75937,73189,74928,71414,67932,68075,64221,47568,41309,30936,24296,16791,10336,6964,4450,1889,1232,134,50
D02005,8277.955130369657,1640382,0.310873522439843,0.0345824566894095,0.294737389090248,0.0182646056023818,475341,0.572668884022207,0.909397674511561,0.414912662698989,0.487317525734157,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,71464,76505,77096,73777,75651,67155,68432,62230,65355,49392,43643,28894,21247,13646,9635,5749,3630,1820,539,244,9,68968,73650,75937,73189,74928,71414,67932,68075,64221,47568,41309,30936,24296,16791,10336,6964,4450,1889,1232,134,50
D02006,8277.955130369657,1640382,0.310873522439843,0.0345824566894095,0.294737389090248,0.0182646056023818,475341,0.572668884022207,0.909397674511561,0.414912662698989,0.487317525734157,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,71464,76505,77096,73777,75651,67155,68432,62230,65355,49392,43643,28894,21247,13646,9635,5749,3630,1820,539,244,9,68968,73650,75937,73189,74928,71414,67932,68075,64221,47568,41309,30936,24296,16791,10336,6964,4450,1889,1232,134,50
D02007,7639.135615064646,1673730,0.3194985896761396,0.032998555194995886,0.2871414106354751,0.023111248849548616,492522,0.5642529673801374,0.9019861041740267,0.40865179626493825,0.4456003995760594,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,70815,75649,77452,78034,76236,68356,61416,61988,61519,51177,43893,32841,26232,17654,12924,8891,4591,2465,1057,73,20,69390,74526,76062,72964,76375,71078,63066,61781,60427,50825,45536,34348,29121,21431,13354,9843,5540,3084,922,647,127
