distrito,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,date
D01001,95.0,45.0,0.0,0.0,55.0,0.0,0.0,0.0,4.0,1.0,435354.0,2020/03
D01002,163.0,228.0,1.0,0.0,106.0,0.0,0.0,0.0,8.0,6.0,877190.0,2020/03
D01003,163.0,228.0,1.0,0.0,106.0,0.0,0.0,0.0,8.0,6.0,877190.0,2020/03
D02001,157.0,208.0,3.0,0.0,181.0,0.0,0.0,0.0,12.0,16.0,988417.0,2020/03
D02002,157.0,208.0,3.0,0.0,181.0,0.0,0.0,0.0,12.0,16.0,988417.0,2020/03
D02003,68.0,125.0,1.0,0.0,33.0,0.0,0.0,0.0,1.0,36.0,486639.0,2020/03
D02004,110.0,621.0,0.0,0.0,276.0,0.0,0.0,1.0,4.0,150.0,1641570.0,2020/03
D02005,110.0,621.0,0.0,0.0,276.0,0.0,0.0,1.0,4.0,150.0,1641570.0,2020/03
D02006,110.0,621.0,0.0,0.0,276.0,0.0,0.0,1.0,4.0,150.0,1641570.0,2020/03
D02007,283.0,430.0,4.0,0.0,236.0,0.0,0.0,0.0,13.0,72.0,1674196.0,2020/03
D02008,110.0,621.0,0.0,0.0,276.0,0.0,0.0,1.0,4.0,150.0,1641570.0,2020/03
D03001,71.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,3.0,1.0,424358.0,2020/03
D03002,81.0,53.0,0.0,0.0,65.0,1.0,0.0,0.0,7.0,2.0,560382.0,2020/03
D04001,5.0,25.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,449981.0,2020/03
D04002,5.0,18.0,0.0,0.0,7.0,0.0,0.0,1.0,5.0,6.0,449950.0,2020/03
D05001,12.0,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,503609.0,2020/03
D05002,61.0,10.0,1.0,0.0,14.0,2.0,0.0,0.0,0.0,4.0,529989.0,2020/03
D05003,51.0,9.0,1.0,0.0,15.0,0.0,1.0,1.0,1.0,2.0,461810.0,2020/03
D05004,5.0,21.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,830808.0,2020/03
D05005,43.0,21.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0,6.0,679288.0,2020/03
D05006,63.0,28.0,0.0,0.0,44.0,2.0,0.0,1.0,0.0,6.0,868147.0,2020/03
D05007,6.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,864807.0,2020/03
D06001,89.0,62.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,10.0,359392.0,2020/03
D06002,59.0,25.0,0.0,0.0,27.0,0.0,1.0,1.0,4.0,39.0,351843.0,2020/03
D07001,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,381865.0,2020/03
D07002,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,376029.0,2020/03
D07003,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,392288.0,2020/03
D07004,2.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,380027.0,2020/03
D07005,0.0,14.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,423659.0,2020/03
D07006,8.0,41.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,3.0,860220.0,2020/03
D07007,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,392326.0,2020/03
D07008,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,435188.0,2020/03
D07009,6.0,33.0,0.0,0.0,15.0,0.0,0.0,0.0,4.0,2.0,598710.0,2020/03
D07010,1.0,15.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,389649.0,2020/03
D07011,0.0,20.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,560140.0,2020/03
D07012,8.0,19.0,0.0,0.0,14.0,0.0,0.0,1.0,3.0,5.0,509879.0,2020/03
D07013,7.0,21.0,0.0,0.0,13.0,0.0,0.0,1.0,3.0,6.0,674385.0,2020/03
D08001,53.0,280.0,1.0,1.0,82.0,1.0,2.0,1.0,1.0,143.0,1391180.0,2020/03
D08002,56.0,283.0,1.0,1.0,84.0,1.0,2.0,1.0,1.0,145.0,1561652.0,2020/03
D08003,53.0,280.0,1.0,1.0,82.0,1.0,2.0,1.0,1.0,143.0,1391180.0,2020/03
D08004,53.0,280.0,1.0,1.0,82.0,1.0,2.0,1.0,1.0,143.0,1391180.0,2020/03
D08005,51.0,32.0,2.0,0.0,20.0,3.0,0.0,0.0,0.0,12.0,417505.0,2020/03
D08006,25.0,120.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,31.0,878062.0,2020/03
D08007,20.0,10.0,1.0,0.0,14.0,2.0,1.0,0.0,0.0,26.0,366845.0,2020/03
D08008,25.0,120.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,31.0,878062.0,2020/03
D08009,17.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,332510.0,2020/03
D09001,48.0,188.0,4.0,0.0,201.0,0.0,0.0,0.0,3.0,13.0,1164477.0,2020/03
D09002,48.0,188.0,4.0,0.0,201.0,0.0,0.0,0.0,3.0,13.0,1164477.0,2020/03
D09003,15.0,75.0,3.0,0.0,113.0,0.0,0.0,0.0,2.0,5.0,400161.0,2020/03
D09004,57.0,236.0,4.0,1.0,259.0,1.0,1.0,0.0,6.0,22.0,1827868.0,2020/03
D09005,42.0,138.0,0.0,0.0,105.0,0.0,0.0,3.0,1.0,12.0,677104.0,2020/03
D09006,47.0,135.0,0.0,0.0,147.0,0.0,0.0,0.0,2.0,7.0,993868.0,2020/03
D09007,48.0,188.0,4.0,0.0,201.0,0.0,0.0,0.0,3.0,13.0,1164477.0,2020/03
D09008,65.0,290.0,1.0,0.0,308.0,0.0,0.0,1.0,3.0,25.0,959816.0,2020/03
D09009,17.0,39.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,7.0,361593.0,2020/03
D09010,20.0,87.0,0.0,0.0,136.0,0.0,1.0,0.0,0.0,2.0,364439.0,2020/03
D09011,25.0,90.0,1.0,0.0,74.0,0.0,0.0,0.0,1.0,15.0,427263.0,2020/03
D09012,40.0,200.0,0.0,0.0,234.0,0.0,0.0,1.0,2.0,10.0,532553.0,2020/03
D09013,30.0,64.0,1.0,0.0,25.0,0.0,0.0,0.0,1.0,9.0,390348.0,2020/03
D09014,42.0,138.0,0.0,0.0,105.0,0.0,0.0,3.0,1.0,12.0,677104.0,2020/03
D09015,36.0,206.0,1.0,0.0,166.0,1.0,1.0,1.0,1.0,5.0,417416.0,2020/03
D09016,40.0,104.0,0.0,0.0,138.0,0.0,0.0,0.0,1.0,6.0,749982.0,2020/03
D09017,46.0,113.0,0.0,0.0,174.0,0.0,0.0,0.0,1.0,9.0,949206.0,2020/03
