clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,mpo_inegi_x,Ranking Modelo_x,pob_2015_x,start_year_x,end_year_x,mpo_ine_x,mpo_inegi_y,Ranking Modelo_y,pob_2015_y,start_year_y,end_year_y,mpo_ine_y,mpo_inegi,Ranking Modelo,pob_2015,start_year,end_year,mpo_ine,date
1001,848.0,1104.0,8.0,0.0,824.0,0.0,0.0,0.0,48.0,48.0,7017520.0,8008,700,7013712,16152,16168,8008.0,8008,700,7013712,16152,16168,8008.0,8008,700,7013712,16152,16168,8008.0,2020/05
1002,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,46464.0,1002,55,46428,2019,2021,1002.0,1002,55,46428,2019,2021,1002.0,1002,55,46428,2019,2021,1002.0,2020/05
1003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56048.0,1003,55,56010,2019,2021,1003.0,1003,55,56010,2019,2021,1003.0,1003,55,56010,2019,2021,1003.0,2020/05
1004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15577.0,1004,55,15568,2019,2021,1004.0,1004,55,15568,2019,2021,1004.0,1004,55,15568,2019,2021,1004.0,2020/05
1005,14.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,120405.0,1005,55,120330,2019,2021,1005.0,1005,55,120330,2019,2021,1005.0,1005,55,120330,2019,2021,1005.0,2020/05
1006,2.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,46473.0,1006,55,46466,2019,2021,1006.0,1006,55,46466,2019,2021,1006.0,1006,55,46466,2019,2021,1006.0,2020/05
1007,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,53866.0,1007,55,53843,2019,2021,1007.0,1007,55,53843,2019,2021,1007.0,1007,55,53843,2019,2021,1007.0,2020/05
1008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8896.0,1008,55,8887,2019,2021,1008.0,1008,55,8887,2019,2021,1008.0,1008,55,8887,2019,2021,1008.0,2020/05
1009,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20926.0,1009,55,20922,2019,2021,1009.0,1009,55,20922,2019,2021,1009.0,1009,55,20922,2019,2021,1009.0,2020/05
1010,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20245.0,1010,55,20221,2019,2021,1011.0,1010,55,20221,2019,2021,1011.0,1010,55,20221,2019,2021,1011.0,2020/05
1011,13.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,46454.0,1011,55,46446,2019,2021,1010.0,1011,55,46446,2019,2021,1010.0,1011,55,46446,2019,2021,1010.0,2020/05
2001,288.0,440.0,0.0,8.0,112.0,0.0,0.0,8.0,8.0,256.0,3893112.0,16008,1912,3891760,16152,16168,16008.0,16008,1912,3891760,16152,16168,16008.0,16008,1912,3891760,16152,16168,16008.0,2020/05
2002,2646.0,4482.0,0.0,0.0,3564.0,0.0,0.0,0.0,27.0,351.0,26687259.0,54054,7272,26681049,54513,54567,54054.0,54054,7272,26681049,54513,54567,54054.0,54054,7272,26681049,54513,54567,54054.0,2020/05
2003,18.0,24.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,102406.0,2003,282,102371,2019,2021,2003.0,2003,282,102371,2019,2021,2003.0,2003,282,102371,2019,2021,2003.0,2020/05
2004,2880.0,26816.0,0.0,0.0,12352.0,0.0,64.0,64.0,64.0,10304.0,105060480.0,128256,18400,104984448,129216,129344,128256.0,128256,18400,104984448,129216,129344,128256.0,128256,18400,104984448,129216,129344,128256.0,2020/05
2005,22.0,44.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,19.0,96734.0,2005,282,96702,2019,2021,2005.0,2005,282,96702,2019,2021,2005.0,2005,282,96702,2019,2021,2005.0,2020/05
3001,9.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,72564.0,3001,148,72558,2018,2021,3001.0,3001,148,72558,2018,2021,3001.0,3001,148,72558,2018,2021,3001.0,2020/05
3002,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,60171.0,3002,148,60136,2018,2021,3002.0,3002,148,60136,2018,2021,3002.0,3002,148,60136,2018,2021,3002.0,2020/05
3003,176.0,184.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,16.0,2181688.0,24024,1556,2181024,16144,16168,24024.0,24024,1556,2181024,16144,16168,24024.0,24024,1556,2181024,16144,16168,24024.0,2020/05
