clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,date
1001,848,1104,8,0,824,0,0,0,48,48,2020/05
1005,14,5,0,0,15,0,0,0,0,2,2020/05
3003,176,184,0,0,96,0,0,0,0,16,2020/05
4002,6,16,0,0,7,0,0,0,1,1,2020/05
5017,56,24,0,0,0,16,0,0,0,0,2020/05
5018,17,6,2,0,8,0,0,0,1,0,2020/05
5030,104,128,0,0,24,0,0,0,0,24,2020/05
5035,440,104,0,0,512,0,0,8,8,24,2020/05
6002,43,10,0,0,17,0,0,1,2,6,2020/05
7019,0,18,0,0,0,0,0,0,0,0,2020/05
7108,0,4,0,0,0,0,0,0,0,1,2020/05
8017,10,6,0,0,7,0,0,0,1,13,2020/05
8019,168,1024,0,0,208,0,0,0,0,272,2020/05
8021,25,12,0,0,20,1,0,0,0,2,2020/05
8037,3008,9920,64,0,4096,64,0,128,0,7104,2020/05
9010,405,1917,0,0,2862,0,0,0,0,108,2020/05
9014,15,134,0,0,120,1,0,0,1,1,2020/05
10005,832,424,0,0,440,0,0,0,16,16,2020/05
11002,4,4,0,0,1,0,0,0,0,9,2020/05
11007,120,720,0,0,1136,0,8,0,0,336,2020/05
11017,192,88,0,0,536,0,0,0,8,320,2020/05
11027,3,41,0,0,45,0,0,0,0,30,2020/05
12035,1,9,0,0,1,0,0,0,0,9,2020/05
14039,4224,31168,640,64,19008,0,0,64,1088,1600,2020/05
14067,10,22,0,0,8,0,0,1,3,3,2020/05
14098,216,736,16,8,736,0,0,0,32,184,2020/05
14101,256,744,24,0,832,0,0,0,8,104,2020/05
14120,3456,13056,64,64,9024,256,0,128,832,1472,2020/05
15025,16,32,8,0,29,0,0,0,9,10,2020/05
15031,594,3294,702,0,1512,0,54,0,108,324,2020/05
15033,9720,161784,11880,0,39960,0,0,216,7344,5184,2020/05
15045,6,10,6,0,0,0,0,0,1,0,2020/05
15074,1,1,0,0,0,0,0,0,0,0,2020/05
15106,1566,4968,270,0,2376,0,27,0,675,297,2020/05
16006,5,47,2,0,0,0,0,0,0,0,2020/05
16034,0,11,0,0,0,0,0,0,0,2,2020/05
16053,336,568,128,0,256,0,0,8,16,168,2020/05
16088,4,5,3,0,2,0,0,0,0,6,2020/05
16102,7,100,26,0,16,3,3,0,0,12,2020/05
16108,0,34,0,0,2,1,0,0,0,29,2020/05
16112,7,14,0,0,1,0,0,0,0,3,2020/05
17006,30,35,2,0,23,0,1,1,4,3,2020/05
17018,9,35,0,0,11,0,0,0,1,6,2020/05
17029,1,8,0,0,2,0,0,0,0,2,2020/05
19006,640,1408,320,0,1600,0,0,0,192,320,2020/05
19018,144,56,8,0,48,8,0,8,8,32,2020/05
19026,136,120,40,0,216,0,0,8,24,16,2020/05
19039,8000,6750,1125,0,7375,0,0,250,1125,1750,2020/05
20043,1,7,0,2,8,1,0,0,1,2,2020/05
21019,4,24,0,0,6,1,0,0,0,5,2020/05
21071,1,5,0,0,2,0,0,0,0,3,2020/05
21174,4,4,1,0,2,0,0,0,1,0,2020/05
22014,672,1320,0,0,1456,8,0,0,104,88,2020/05
22016,30,41,0,0,8,0,0,0,3,3,2020/05
24013,4,2,2,0,2,0,0,0,0,2,2020/05
24028,368,1568,184,0,416,24,8,8,32,192,2020/05
25006,405,3672,0,0,1215,0,0,0,0,864,2020/05
25011,0,7,0,0,0,0,0,0,0,0,2020/05
25012,24,336,0,0,48,0,0,0,16,40,2020/05
25018,0,6,0,0,0,0,0,0,0,3,2020/05
26029,5,9,0,0,2,0,0,0,0,17,2020/05
26042,4,3,0,0,5,0,0,0,0,0,2020/05
26043,1,14,1,0,3,0,0,0,0,13,2020/05
28027,1,12,0,0,1,0,0,0,0,1,2020/05
28032,232,600,0,0,264,0,0,0,16,176,2020/05
28033,10,4,0,0,0,0,0,0,0,2,2020/05
28038,8,7,0,0,5,0,0,0,0,0,2020/05
30028,4,12,0,0,21,0,0,0,0,1,2020/05
30038,5,3,0,0,1,0,0,1,3,0,2020/05
30087,80,568,0,0,168,0,0,0,56,0,2020/05
30123,2,6,0,0,1,3,0,0,0,2,2020/05
30124,6,9,0,0,0,0,0,0,1,2,2020/05
30131,2,8,0,0,3,0,0,0,2,2,2020/05
30141,3,1,0,0,3,0,2,0,2,2,2020/05
30174,1,6,0,0,0,0,0,0,1,1,2020/05
30189,2,4,0,0,0,0,0,0,2,0,2020/05
30193,72,272,0,0,1128,0,0,8,24,8,2020/05
31050,48,8,0,0,16,0,0,0,0,8,2020/05
32056,6,19,0,0,5,0,0,0,4,3,2020/05
