distrito,mpo_inegi
D01001,1005
D01001,1003
D01001,1007
D01001,1006
D01001,1011
D01001,1002
D01001,1009
D01001,1010
D01001,1004
D01001,1008
D01002,1001
D01003,1001
D03001,3003
D03001,3001
D03001,3002
D03001,3009
D04001,4002
D04001,4001
D04001,4006
D04001,4005
D04001,4010
D04001,4008
D05002,5017
D05002,5033
D05002,5027
D05002,5020
D05002,5009
D05002,5006
D05002,5031
D05002,5007
D05002,5023
D05002,5034
D05002,5021
D05002,5029
D05002,5016
D05003,5018
D05003,5010
D05003,5028
D05003,5032
D05003,5003
D05003,5037
D05003,5026
D05003,5008
D05003,5005
D05003,5012
D05003,5015
D05003,5013
D05003,5001
D05004,5030
D05004,5004
D05005,5035
D05007,5030
D05007,5024
D05007,5011
D06001,6002
D06001,6010
D06001,6005
D06001,6003
D06001,6004
D07002,7081
D07002,7026
D07002,7013
D07002,7072
D07002,7044
D07002,7049
D07002,7039
D07002,7014
D07002,7066
D07002,7047
D07002,7005
D07002,7022
D07002,7056
D07002,7042
D07002,7085
D07002,7113
D07002,7118
D07002,7119
D07008,7019
D07008,7099
D07008,7034
D07008,7106
D07008,7075
D07008,7083
D07008,7104
D07008,7058
D07010,7108
D07010,7017
D07010,7107
D07010,7020
D07010,7046
D07010,7008
D07010,7117
D08002,8037
D08002,8050
D08002,8005
D08002,8010
D08002,8001
D08002,8013
D08002,8035
D08002,8034
D08002,8023
D08002,8053
D08002,8028
D08005,8021
D08005,8011
D08005,8045
D08005,8036
D08005,8062
D08005,8052
D08005,8002
D08005,8055
D08005,8004
D08005,8038
D08005,8016
D08005,8058
D08005,8015
D08005,8042
D08006,8019
D08007,8017
D08007,8031
D08007,8040
D08007,8009
D08007,8048
D08007,8025
D08007,8054
D08007,8051
D08007,8020
D08007,8030
D08007,8063
D08007,8006
D08007,8066
D08007,8047
D08007,8018
D08007,8024
D08007,8043
D08007,8026
D08007,8041
D08008,8019
D09015,9014
D09017,9010
D09017,9004
D10001,10005
D10001,10023
D10001,10032
D10001,10014
D10001,10034
D10001,10038
D10001,10026
D10001,10035
D10001,10037
D10001,10033
D10001,10019
D10001,10002
D10004,10005
D11002,11007
D11002,11003
D11002,11009
D11002,11032
D11008,11027
D11008,11035
D11008,11044
D11009,11017
D11009,11037
D11012,11007
D11014,11002
D11014,11005
D11014,11004
D11014,11019
D11014,11039
D11014,11038
D11014,11010
D11015,11017
D12001,12058
D12001,12022
D12001,12003
D12001,12050
D12001,12007
D12001,12054
D12001,12067
D12001,12027
D12001,12073
D12001,12017
D12001,12064
D12001,12006
D12001,12026
D12001,12047
D12001,12037
D12001,12031
D12002,12035
D12002,12055
D12002,12034
D12002,12059
D12002,12019
D12002,12060
D12002,12015
D12002,12049
D12002,12008
D12008,12012
D12008,12046
D12008,12053
D12008,12056
D12008,12023
D12008,12039
D12008,12030
D12008,12025
D12008,12013
D12008,12018
D12008,12077
D12008,12080
D14004,14120
D14005,14067
D14005,14100
D14005,14084
D14005,14058
D14005,14020
D14005,14080
D14005,14038
D14005,14012
D14005,14062
D14007,14101
D14009,14039
D14016,14098
D15001,15045
D15001,15001
D15001,15085
D15001,15003
D15001,15112
D15001,15056
D15001,15026
D15001,15102
D15001,15071
D15001,15079
D15006,15033
D15006,15020
D15006,15044
D15009,15074
D15009,15114
D15009,15124
D15009,15111
D15009,15032
D15018,15106
D15018,15037
D15018,15067
D15018,15115
D15018,15046
D15033,15025
D15033,15022
D15033,15083
D15036,15082
D15036,15110
D15036,15021
D15036,15105
D15036,15086
D15036,15123
D15036,15080
D15036,15008
D15036,15007
D15036,15097
D15036,15117
D15036,15004
D15036,15078
D15036,15041
D15036,15077
D15036,15116
D15036,15066
D15039,15031
D15039,15070
D16002,16088
D16002,16071
D16002,16020
D16002,16113
D16002,16022
D16002,16003
D16002,16040
D16002,16067
D16002,16063
D16002,16004
D16002,16078
D16002,16044
D16002,16036
D16002,16018
D16002,16037
D16002,16054
D16002,16027
D16003,16112
D16003,16038
D16003,16098
D16003,16061
D16003,16047
D16003,16077
D16003,16099
D16003,16046
D16003,16092
D16003,16005
D16003,16013
D16003,16101
D16003,16081
D16005,16108
D16005,16069
D16005,16106
D16005,16086
D16005,16030
D16005,16042
D16005,16060
D16005,16028
D16005,16109
D16006,16034
D16006,16050
D16006,16110
D16006,16017
D16006,16093
D16006,16080
D16006,16031
D16006,16041
D16006,16072
D16006,16007
D16007,16107
D16007,16043
D16007,16025
D16007,16065
D16007,16085
D16007,16056
D16007,16073
D16007,16016
D16007,16024
D16007,16032
D16007,16070
D16007,16021
D16007,16094
D16009,16102
D16010,16053
D16012,16006
D16012,16012
D16012,16083
D16012,16068
D16012,16008
D16012,16089
D16012,16058
D16012,16015
D16012,16002
D16012,16014
D16012,16026
D17003,17006
D17003,17004
D17003,17024
D17003,17003
D17003,17019
D17004,17018
D17004,17017
D17004,17012
D17004,17031
D17004,17025
D17004,17015
D17004,17001
D17004,17014
D17004,17005
D17004,17021
D17005,17029
D17005,17030
D17005,17020
D17005,17002
D17005,17022
D17005,17009
D17005,17016
D17005,17026
D17005,17010
D17005,17033
D17005,17013
D17005,17027
D17005,17032
D17005,17023
D19002,19006
D19002,19046
D19002,19021
D19002,19041
D19002,19025
D19003,19021
D19005,19039
D19006,19039
D19006,19018
D19007,19039
D19007,19018
D19007,19025
D19007,19045
D19007,19012
