distrito,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
D01001,57118725.0,3646400.0,2956800.0,7182400.0,5158650.0,64000.0,0.0,45126000.0,387200.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,39066739.0,0.0
D01002,122640975.0,9770800.0,13771200.0,9950400.0,9363600.0,608000.0,59620.0,42836400.0,0.0,0.0,0.0,0.0,0.0,25000.0,160600.0,81600.0,18768553.0,0.0
D01003,122640975.0,9770800.0,13771200.0,9950400.0,9363600.0,608000.0,59620.0,42836400.0,0.0,0.0,0.0,0.0,0.0,25000.0,160600.0,81600.0,18768553.0,0.0
D02001,147935700.0,825600.0,3000000.0,10688000.0,16291950.0,0.0,0.0,10411200.0,1369600.0,0.0,0.0,0.0,0.0,5000.0,14600.0,0.0,681208.0,0.0
D02002,147935700.0,825600.0,3000000.0,10688000.0,16291950.0,0.0,0.0,10411200.0,1369600.0,0.0,0.0,0.0,0.0,5000.0,14600.0,0.0,681208.0,0.0
D02003,69755250.0,926800.0,2380800.0,11897600.0,11424000.0,0.0,2431.0,12427200.0,9187200.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0,1030284.0,5000.0
D02004,176760900.0,452000.0,5784000.0,25508800.0,19867050.0,0.0,18250.0,15843600.0,0.0,0.0,0.0,0.0,0.0,0.0,58400.0,0.0,1646906.0,5000.0
D02005,176760900.0,452000.0,5784000.0,25508800.0,19867050.0,0.0,18250.0,15843600.0,0.0,0.0,0.0,0.0,0.0,0.0,58400.0,0.0,1646906.0,5000.0
D02006,176760900.0,452000.0,5784000.0,25508800.0,19867050.0,0.0,18250.0,15843600.0,0.0,0.0,0.0,0.0,0.0,0.0,58400.0,0.0,1646906.0,5000.0
D02007,243973800.0,1884800.0,5419200.0,25310400.0,36393600.0,0.0,2431.0,24451200.0,10556800.0,0.0,0.0,0.0,55000.0,5000.0,14600.0,9600.0,1924986.0,5000.0
D02008,176760900.0,452000.0,5784000.0,25508800.0,19867050.0,0.0,18250.0,15843600.0,0.0,0.0,0.0,0.0,0.0,0.0,58400.0,0.0,1646906.0,5000.0
D03001,70119900.0,2337600.0,10310400.0,9036800.0,5451900.0,0.0,0.0,57240000.0,5292800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501924.0,0.0
D03002,64122300.0,2428800.0,8918400.0,12078400.0,6222000.0,0.0,9724.0,29883600.0,873600.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,603003.0,0.0
D04001,79825200.0,5867200.0,11620800.0,19203200.0,8496600.0,16160000.0,7053.0,251424000.0,2492800.0,0.0,0.0,0.0,0.0,5000.0,65700.0,5430400.0,79073126.0,23935000.0
D04002,59858700.0,1967600.0,6768000.0,20008000.0,6885000.0,15408000.0,11675.0,173199600.0,3040000.0,0.0,0.0,0.0,0.0,0.0,5679400.0,4800.0,30359668.0,24015000.0
D05001,72705600.0,1464000.0,2227200.0,9262400.0,5043900.0,0.0,0.0,4806000.0,0.0,0.0,42931014.0,0.0,0.0,5000.0,0.0,0.0,662070.0,5000.0
