distrito,11-07-2021
D01001,313
D01002,2163
D01003,2163
D02001,3281
D02002,3281
D02003,1290
D02004,3844
D02005,3844
D02006,3844
D02007,4925
D02008,3844
D03001,1040
D03002,1365
D04001,713
D04002,651
D05001,1263
D05002,871
D05003,1365
D05004,1714
D05005,1556
D05006,1853
D05007,1745
D06001,643
D06002,582
D07001,40
D07002,19
D07003,32
D07004,101
D07005,59
D07006,716
D07007,133
D07008,88
D07009,619
D07010,41
D07011,71
D07012,381
D07013,402
D08001,3759
D08002,3945
D08003,3759
D08004,3759
D08005,876
D08006,1902
D08007,436
D08008,1902
D08009,427
D09001,5383
D09002,5383
D09003,2404
D09004,6991
D09005,1865
D09006,3678
D09007,5383
D09008,4314
D09009,998
D09010,1266
D09011,1961
D09012,2353
D09013,2266
D09014,1865
D09015,1281
D09016,2937
D09017,3461
D09018,6991
D09019,6991
D09020,6991
D09021,1558
D09022,6991
D09023,2432
D09024,3682
D10001,1254
D10002,880
D10003,375
D10004,1102
D11001,482
D11002,1370
D11003,4052
D11004,509
D11005,4052
D11006,4052
D11007,719
D11008,845
D11009,1596
D11010,547
D11011,4052
D11012,933
D11013,474
D11014,531
D11015,1208
D12001,382
D12002,625
D12003,414
D12004,1944
D12005,231
D12006,140
D12007,577
D12008,272
D12009,1944
D13001,280
D13002,528
D13003,752
D13004,744
D13005,1168
D13006,1789
D13007,1047
D14001,462
D14002,544
D14003,352
D14004,1868
D14005,521
D14006,1868
D14007,634
D14008,4734
D14009,4734
D14010,1868
D14011,4734
D14012,571
D14013,2854
D14014,4734
D14015,530
D14016,986
D14017,384
D14018,454
D14019,453
D14020,924
D15001,250
D15002,1973
D15003,513
D15004,801
D15005,1763
D15006,6335
D15007,1317
D15008,1480
D15009,198
D15010,5377
D15011,5377
D15012,880
D15013,5377
D15014,4824
D15015,1078
D15016,7806
D15017,5377
D15018,3138
D15019,2429
D15020,3604
D15021,1105
D15022,2424
D15023,1063
D15024,2424
D15025,1190
D15026,2591
D15027,1100
D15028,827
D15029,3604
D15030,1543
D15031,3604
D15032,453
D15033,1589
D15034,2474
D15035,507
D15036,299
D15037,1173
D15038,947
D15039,1848
D15040,680
D15041,1182
D16001,667
D16002,401
D16003,482
D16004,245
D16005,491
D16006,286
D16007,443
D16008,1683
D16009,555
D16010,1683
D16011,467
D16012,304
D17001,848
D17002,1405
D17003,931
D17004,665
D17005,614
D18001,558
D18002,801
D18003,528
D19001,617
D19002,2842
D19003,643
D19004,2048
D19005,3375
D19006,3598
D19007,3988
D19008,2624
D19009,447
D19010,3375
D19011,5195
D19012,1521
D20001,341
D20002,267
D20003,526
D20004,489
D20005,460
D20006,179
D20007,377
D20008,1001
D20009,232
D20010,216
D21001,366
D21002,237
D21003,516
D21004,241
D21005,828
D21006,6494
D21007,6854
D21008,292
D21009,6638
D21010,769
D21011,6494
D21012,6494
D21013,837
D21014,509
D21015,897
D22001,313
D22002,684
D22003,2995
D22004,2995
D22005,496
D23001,2593
D23002,508
D23003,1971
D23004,2412
D24001,475
D24002,740
D24003,409
D24004,474
D24005,3077
D24006,3077
D24007,288
D25001,1227
D25002,1135
D25003,785
D25004,929
D25005,2383
D25006,3498
D25007,2383
D26001,892
D26002,1046
D26003,2270
D26004,809
D26005,2270
D26006,1162
D26007,674
D27001,489
D27002,523
D27003,453
D27004,1886
D27005,745
D27006,2121
D28001,720
D28002,1246
D28003,1042
D28004,775
D28005,485
D28006,398
D28007,694
D28008,1181
D28009,1177
D29001,632
D29002,1151
D29003,1042
D30001,227
D30002,109
D30003,412
D30004,1741
D30005,910
D30006,297
D30007,296
D30008,1249
D30009,383
D30010,919
D30011,977
D30012,2090
D30013,279
D30014,493
D30015,574
D30016,526
D30017,347
D30018,292
D30019,450
D30020,392
D31001,557
D31002,696
D31003,2515
D31004,2515
D31005,569
D32001,715
D32002,522
D32003,933
D32004,674
